Church Name,City,State,Size,Denomination
High Desert Church,Victorville,CA,6313,"Independent, Nondenominational"
High Point Church,Arlington,TX,6000,"Independent, Nondenominational"
High Pointe Baptist Church,Austin,TX,2219,Southern Baptist Convention
Higher Dimension Church,Houston,TX,3700,Southern Baptist Convention
Highland Avenue Church of the Brethren,Elgin,IL,2500,Brethren
Highland Church,Jamaica,NY,3000,"Independent, Nondenominational"
Highland Church of Christ,Abilene,TX,2000,Church of Christ
Highland Park Community Church,Casper,WY,2500,"Church of God, Cleveland"
Highland Park United Methodist Church,Dallas,TX,4400,United Methodist Church
Highlands Church,Scottsdale,AZ,3500,"Independent, Nondenominational"
Highlands Fellowship,Abingdon,VA,4000,Southern Baptist Convention
Highview Baptist Church,Louisville,KY,3254,Southern Baptist Convention
Hill Country Bible Church NW,Austin,TX,4600,Unknown (unspecified)
Hillside Christian Church- Amarillo West,Amarillo,TX,8000,CHRISTIAN
Hillside Community Church,Alta Loma,CA,2000,American Baptist
Hillvue Heights Church,Bowling Green,KY,4825,Southern Baptist Convention
Hoffmantown Church,Albuquerque,NM,1800,Southern Baptist Convention
Hope Chapel,Kihei,HI,2000,Four Square
Hope Chapel Kapolei,Kapolei,HI,2500,Four Square
Hope Community Church,Raleigh,NC,7854,Southern Baptist Convention
Hope Fellowship,Frisco,TX,3100,Assemblies of God
Hope Lutheran Church,Fargo,ND,2500,Evangelical Lutheran Church in America
Hope Point,Yuba City,CA,2270,Church of the Nazarene
Hope Presbyterian Church,Cordova,TN,6978,Evangelical Presbyterian Church
Hopewell Missionary Baptist,Norcross,GA,5000,Baptist (unspecified)
Horizon Christian Fellowship,San Diego,CA,7000,"Independent, Nondenominational"
Horizon Christian Fellowship North County,Rancho Santa Fe,CA,4000,"Independent, Nondenominational"
Hosanna!,Lakeville,MN,6600,Lutheran (unspecified)
Houston’s First Baptist Church,Houston,TX,6458,Southern Baptist Convention
Hunter Street Baptist Church,Hoover,AL,3320,Southern Baptist Convention
Hyde Park Baptist Church,Austin,TX,2067,Southern Baptist Convention
Idlewild Baptist Church,Lutz,FL,7000,Southern Baptist Convention
Iglesia Cristiana La Familia de Dios,Ontario,CA,1800,Baptist (unspecified)
Iglesia Cristiana Misericordia,Laredo,TX,2400,Assemblies of God
Iglesia Cristiana Rios De Agua Viva,Pomona,CA,2500,Pentecostal (unspecified)
Iglesia Cristiana Segadores De Vida,Hollywood,FL,7000,"Independent, Nondenominational"
Iglesia de Dios Hispana de Nashville,Nashville,TN,2000,Pentecostal (unspecified)
Iglesia De Dios Pentecostal,Chicago,IL,6000,Pentecostal (unspecified)
Iglesia De Restauracion Inc.,Los Angeles,CA,4000,Evangelical
Iglesia El Calvario Assembly of God,Orlando,FL,5250,Assemblies of God
Iglesia Ni Cristo,Los Angeles,CA,2000,Church of Christ
Iglesia Pentecostal Macedonia,New York,NY,4550,Pentecostal (unspecified)
Iglesia Puerta Del Cielo,El Paso,TX,2500,Unknown (unspecified)
Iglesia Rios de Agua Via,Odgen,UT,2000,Unknown (unspecified)
Imago Dei Community,Portland,OR,2000,Unknown (unspecified)
Immanuel Baptist Church,Little Rock,AR,2500,Baptist (unspecified)
Immanuel Baptist Church,Highland,CA,3000,Baptist (unspecified)
Immanuel Baptist Church,Lexington,KY,2000,Southern Baptist Convention
Immanuel Bible Church,Springfield,VA,4000,"Independent, Nondenominational"
Immanuel’s Church,Silver Spring,MD,4500,"Independent, Nondenominational"
Indian Creek Christian Church,Indianapolis,IN,4532,CHRISTIAN
Ingleside Baptist Church,Macon,GA,2000,Baptist (unspecified)
Inland Hills Church,Chino,CA,3001,Assemblies of God
Inspiring Body of Christ Church,Dallas,TX,8000,Unknown (unspecified)
International Christian Center,Staten Island,NY,2450,Assemblies of God
International Christian Center,Brownsville,TX,2000,Unknown (unspecified)
International Church of Las Vegas,Las Vegas,NV,5000,Assemblies of God
International Ethiopian Evangelical Church,Washington,DC,1800,Assemblies of God
Irving Bible Church,Irving,TX,4100,"Independent, Nondenominational"
Jacksonville Chapel,Lincoln Park,NJ,2000,"Independent, Nondenominational"
James River Assembly,Ozark,MO,8246,Assemblies of God
Jersey Baptist Church,Pataskala,OH,1900,Southern Baptist Convention
Johnson Ferry Baptist Church,Marietta,GA,5000,Southern Baptist Convention
Journey Church,Norman,OK,3300,Evangelical Covenant
Journey Church,Kenosha,WI,2400,Assemblies of God
Journey Community Church,La Mesa,CA,2300,"Independent, Nondenominational"
Journey of Faith,Manhattan Beach,CA,2000,CBA
Jubilee Christian Center,San Jose,CA,14000,Unknown (unspecified)
Jubilee Christian Church,Mattapan,MA,7000,"Church of God, Anderson"
Jubilee Fellowship Church,Lone Tree,CO,2500,"Independent, Nondenominational"
Kalispell Christian Center,Kalispell,MT,2500,Assemblies of God
Kempsville Presbyterian Church,Virginia Beach,VA,2200,Evangelical Presbyterian Church
Kensington Community Church,Troy,MI,11000,Unknown (unspecified)
Kentwood Community Church,Kentwood,MI,2581,Wesleyan
King Jesus International Ministry,Miami,FL,16800,"Independent, Nondenominational"
King of Kings Lutheran Church,Omaha,NE,2400,Lutheran (unspecified)
King Street Church,Chambersburg,PA,2000,Unknown (unspecified)
King’s Cathedral Maui,Kahului,HI,5409,Assemblies of God
Kingdom Church,Ewing,NJ,2500,Unknown (unspecified)
Kingdom in the Valley Christian Church,Litchfield Park,AZ,3300,CHRISTIAN
Kingdom Life Christian Church,Milford,CT,2500,"Independent, Nondenominational"
Kingsland Baptist Church,Katy,TX,2800,Southern Baptist Convention
Kingsway Christian Church,Avon,IN,2549,CHRISTIAN
Kingwood Church,Alabaster,AL,2000,Assemblies of God
Kirby Woods Baptist Church,Memphis,TN,1800,Southern Baptist Convention
Knott Avenue Christian Church,Anaheim,CA,2208,CHRISTIAN
Korean Central Presbyterian Church,Centreville,VA,4500,Presbyterian Church of America
Korean Community Presbyterian Church,Duluth,GA,3000,Korean Presbyterian Church
La Casa de Cristo Lutheran Church,Scottsdale,AZ,2000,Lutheran (unspecified)
La Catedral del Pueblo,Miami,FL,2000,"Independent, Nondenominational"
La Croix United Methodist Church,Cape Girardeau,MO,1943,United Methodist Church
La Iglesia en el Camino,Van Nuys,CA,5000,Four Square
Lake Arlington Baptist Church,Arlington,TX,2000,Southern Baptist Convention
Lake Avenue Church,Pasadena,CA,5000,Unknown (unspecified)
Lake City Community Church,Coeur D Alene,ID,1925,Assemblies of God
Lake Forest Church,Huntersville,NC,2000,Evangelical Presbyterian Church
Lake Hills Church,Austin,TX,3204,Southern Baptist Convention
Lake Pointe Church,Rockwall,TX,11225,Southern Baptist Convention
Lake Providence Missionary Baptist Church,Nashville,TN,2200,Missionary Baptist
Lakeside Baptist Church,Granbury,TX,1800,Baptist (unspecified)
Lakeside Church,Folsom,CA,3000,Unknown (unspecified)
Lakeview Christian Center,Indianapolis,IN,2000,Assemblies of God
Lakewood Church,Houston,TX,45000,"Independent, Nondenominational"
Lancaster Baptist Church,Lancaster,CA,6000,Baptist (unspecified)
LCBC Church,Manheim,PA,19000,"Independent, Nondenominational"
Lees Summit Community Church,Lee's Summit,MO,2001,Unknown (unspecified)
Legacy Church,Albuquerque,NM,10100,"Independent, Nondenominational"
Lenexa Christian Center,Shawnee Mission,KS,3000,Assemblies of God
Lexington Baptist Church,Lexington,SC,1800,Southern Baptist Convention
Liberty Baptist Church,Hampton,VA,3023,Southern Baptist Convention
Liberty Bible Church,Chesterton,IN,1800,Evangelical Free
Liberty Churches,Shrewsbury,MA,2100,Assemblies of God
Life Center,Tacoma,WA,4811,Assemblies of God
Life Center,Saint Louis,MO,2500,"Independent, Nondenominational"
Life Center Church,Eatonville,FL,2500,Unknown (unspecified)
Life Center Foursquare,Spokane,WA,4500,Four Square
Life Center Ministries,New Orleans,LA,6500,Unknown (unspecified)
Life Changers International Church,Hoffman Estates,IL,3000,"Independent, Nondenominational"
Life Church,Irving,CA,2100,"Independent, Nondenominational"
Life Church of God In Christ,Riverside,CA,4500,Church of God in Christ
Life Church of Memphis,Cordova,TN,3000,"Independent, Nondenominational"
Life Tabernacle,Houston,TX,3000,Unknown (unspecified)
Life.Church,Edmond,OK,85000,Evangelical Covenant
LifeBridge Christian Church,Longmont,CO,3121,CHRISTIAN
Lifechurch,Allentown,PA,2000,"Independent, Nondenominational"
LifeChurch,St Louis,MO,2000,"Independent, Nondenominational"
Lifegate Church,Omaha,NE,1800,"Independent, Nondenominational"
Lifepoint Church,Fredericksburg,VA,1800,Unknown (unspecified)
LifePoint Church,Smyrna,TN,3100,Baptist (unspecified)
LifePoint Church,Minden,NV,2000,"Independent, Nondenominational"
LifePoint Church,Reisterstown,MD,2000,Unknown (unspecified)
LifePoint Community Church,Tampa,FL,2200,Southern Baptist Convention
Lifeway Church Ministries,Rancho Cucamonga,CA,2000,Unknown (unspecified)
Lighthouse Christian Center,Puyallup,WA,1800,Christian & Missionary Alliance
Lighthouse Church of All Nations,Alsip,IL,2000,Unknown (unspecified)
Lilly Grove Missionary Baptist Church,Houston,TX,1900,Baptist (unspecified)
Lima Community Church,Lima,OH,1888,Church of the Nazarene
Lincoln Berean Church,Lincoln,NE,5000,"Independent, Nondenominational"
Lincoln Heights Missionary Baptist Church,Cincinnati,OH,3200,Baptist (unspecified)
Lindsay Lane Baptist Church,Athens,AL,1800,Southern Baptist Convention
Liquid Church,Morristown,NJ,2000,"Independent, Nondenominational"
Little Country Church,Redding,CA,3800,"Independent, Nondenominational"
Living Faith Christian Center,Baton Rouge,LA,4750,"Independent, Nondenominational"
Living Hope Baptist Church,Bowling Green,KY,2100,Southern Baptist Convention
Living Hope Church,Vancouver,WA,5200,"Independent, Nondenominational"
Living Stones Church,Reno,NV,2297,"Independent, Nondenominational"
Living Streams Church,Phoenix,AZ,2000,Unknown (unspecified)
Living Word Christian Center,Forest Park,IL,4500,"Independent, Nondenominational"
Living Word Christian Center,Brooklyn Park,MN,9000,Unknown (unspecified)
Living Word Community Church,York,PA,2500,"Independent, Nondenominational"
Logos Baptist Assembly,Chicago,IL,2200,Baptist (unspecified)
Loma Linda University Church,Loma Linda,CA,3800,Seventh-day Adventist
Long Hollow Baptist Church,Hendersonville,TN,7154,Southern Baptist Convention
Longview Baptist Temple,Longview,TX,2500,Baptist (unspecified)
Love Fellowship Tabernacle,Brooklyn,NY,2000,"Independent, Nondenominational"
Love International Ministries,Phoenix,AZ,4200,"Independent, Nondenominational"
Loving Word Fellowship,Houston,TX,2500,Baptist General Conference
Lutheran Church of Hope,West Des Moines,IA,10578,Evangelical Lutheran Church in America
Madison Church of Christ,Madison,TN,2150,Church of Christ
Madison Park Church of God,Anderson,IN,2000,"Church of God, Cleveland"
Man’s Authentic Nature,Loveland,OH,4000,Vineyard
Manchester Christian Church,Manchester,NH,2100,CHRISTIAN
Manna Church,Fayetteville,NC,7300,Unknown (unspecified)
Maranatha Adventist Church,Atlanta,GA,2100,Seventh-day Adventist
Maranatha Chapel,San Diego,CA,6000,"Independent, Nondenominational"
Maranatha Fellowship Church,Saint Albans,WV,2200,Unknown (unspecified)
Marathon Church,Greenville,SC,2500,Baptist (unspecified)
March of Faith Ministries,Houston,TX,1800,Baptist (unspecified)
Mariners Church,Irvine,CA,13567,"Independent, Nondenominational"
Mars Hill Bible Church,Grandville,MI,12000,"Independent, Nondenominational"
Mayfair Church of Christ,Huntsville,AL,1800,Church of Christ
McGregor Baptist Church,Fort Myers,FL,3453,Southern Baptist Convention
McKinney Memorial Bible Church,Fort Worth,TX,2000,"Independent, Nondenominational"
McLean Bible Church,Vienna,VA,8153,"Independent, Nondenominational"
Meadowbrook Church,Ocala,FL,3001,"Independent, Nondenominational"
Mecklenburg Community Church,Charlotte,NC,2000,Unknown (unspecified)
Memorial Baptist Church,Evansville,IN,2000,Baptist (unspecified)
Memorial Road Church of Christ,Edmond,OK,2600,Church of Christ
Menlo Park Presbyterian Church,Menlo Park,CA,3737,ECO
Metro Church of God,Birmingham,AL,2000,"Church of God, Cleveland"
Metro International Church,Brooklyn,NY,2400,"Independent, Nondenominational"
Metropolitan Baptist Church,Newark,NJ,2500,Baptist (unspecified)
Metropolitan Bible Church,Ottawa,ON,2500,"Independent, Nondenominational"
Miami Vineyard Community Church,Miami,FL,2000,Vineyard
Mid Way Baptist Church,Raleigh,NC,2600,"Independent, Nondenominational"
Milestone Church,Keller,TX,2000,Unknown (unspecified)
Ministerio Internacional El Rey Jesus,Miami,FL,5500,"Independent, Nondenominational"
Ministerios Bethania USA,Carrollton,TX,2500,Unknown (unspecified)
Ministerios Llamada Final,Downey,CA,3500,"Independent, Nondenominational"
Mission Community Church,Gilbert,AZ,6195,Unknown (unspecified)
Mission Eben Ezer Family Church,Carson,CA,2750,Assemblies of God
Mission Hills Church,Littleton,CO,3600,Baptist General Conference
Mobberly Baptist Church,Longview,TX,2118,Southern Baptist Convention
Montgomery Community Church,Cincinnati,OH,2500,American Baptist
More Than Conquerors Faith Church,Birmingham,AL,3000,Unknown (unspecified)
Morning Star Baptist Church,Mattapan,MA,2100,Baptist (unspecified)
Morning Star Church,O'Fallon,MO,1945,United Methodist Church
Morning Star Community Church,Salem,OR,2500,"Independent, Nondenominational"
Morningstar Christian Chapel,Whittier,CA,3000,"Independent, Nondenominational"
Morningstar Fellowship Church,Fort Mill,SC,2500,"Independent, Nondenominational"
Mount Ararat Baptist Church,Pittsburgh,PA,4800,Baptist (unspecified)
Mount Bethel Baptist Church,Fort Lauderdale,FL,2000,Baptist (unspecified)
Mount Bethel United Methodist Church,Marietta,GA,2950,United Methodist Church
Mount Calvary Baptist Church,Fairfield,CA,3800,Southern Baptist Convention
Mount Corinth Baptist Church,Houston,TX,2000,Unknown (unspecified)
Mount Ennon Baptist Church,Clinton,MD,5000,Baptist (unspecified)
Mount Ephraim Baptist Church,Atlanta,GA,5500,Baptist (unspecified)
Mount Hope Church,Lansing,MI,4300,Assemblies of God
Mount Lebanon Missionary Baptist Church,Chesapeake,VA,2300,Missionary Baptist
Mount Olive Baptist Church,Fort Lauderdale,FL,3000,Baptist (unspecified)
Mount Olive Baptist Church,Arlington,TX,3500,Baptist (unspecified)
Mount Olive Missionary Baptist Church,Indianapolis,IN,2500,Missionary Baptist
Mount Olivet Lutheran Church,Minneapolis,MN,5895,Evangelical Lutheran Church in America
Mount Paran Church of God,Atlanta,GA,4000,"Church of God, Cleveland"
Mount Paran Church of God North,Marietta,GA,2000,"Church of God, Cleveland"
Mount Pisgah United Methodist Church,Johns Creek,GA,2211,United Methodist Church
Mount Pleasant Christian Church,Greenwood,IN,3232,CHRISTIAN
Mount Pleasant Church And Ministries,Baltimore,MD,8000,"Independent, Nondenominational"
Mount Sinai Missionary Baptist Church,Austin,TX,2200,Baptist (unspecified)
Mount Vernon Baptist Church,Memphis,TN,3000,Baptist (unspecified)
Mount Zion,Clarkston,MI,6000,"Independent, Nondenominational"
Mount Zion Baptist Church,Seattle,WA,2500,Baptist (unspecified)
Mount Zion Baptist Church,Greensboro,NC,2800,Baptist (unspecified)
Mount Zion Baptist Church,Nashville,TN,21000,Baptist (unspecified)
Mount Zion Baptist Church of Oakwood Village,Oakwood Village,OH,3000,Baptist (unspecified)
Mountain Christian Church,Joppa,MD,4270,CHRISTIAN
Mountain Lake Church,Cumming,GA,2500,"Independent, Nondenominational"
Mountain Springs Church,Colorado Springs,CO,3500,"Independent, Nondenominational"
Mountaintop Community Church,Birmingham,AL,2000,"Independent, Nondenominational"
Mud Creek Baptist Church,Hendersonville,NC,2590,Southern Baptist Convention
Mundo De Fe,Carrollton,TX,2000,Unknown (unspecified)
Nappanee Missionary Church,Nappanee,IN,3000,Unknown (unspecified)
National Church of God,Fort Washington,MD,2500,"Church of God, Cleveland"
Neighborhood Church of Redding,Redding,CA,2500,Christian & Missionary Alliance
Neighborhood Church/Three Crosses,Castro Valley,CA,2500,"Independent, Nondenominational"
New Beginnings Community Church,Darien,CT,2000,"Independent, Nondenominational"
New Beginnings Fellowship Church,Indianapolis,IN,3000,"Independent, Nondenominational"
New Birth Baptist Church,Miami,FL,9000,Baptist (unspecified)
New Birth Baptist Church,Dallas,TX,3000,Unknown (unspecified)
New Birth Church,Pittsburg,CA,2000,Unknown (unspecified)
New Birth Church,Jonesboro,GA,5000,Baptist (unspecified)
New Birth-Charlotte,Cornelius,NC,6500,"Independent, Nondenominational"
New Covenant Baptist Church,Orlando,FL,2200,Baptist (unspecified)
New Covenant Community Church,Fresno,CA,1900,Baptist General Conference
New Creation Church,Shelbyville,TN,2500,"Independent, Nondenominational"
New Destiny Christian Center,Apopka,FL,2000,Unknown (unspecified)
New Dimensions Christian Center,Pensacola,FL,3300,"Independent, Nondenominational"
New Direction Christian Church,Memphis,TN,10948,CHRISTIAN
New Faith Baptist Church International,Matteson,IL,4900,Southern Baptist Convention
New Faith Church,Houston,TX,2500,Southern Baptist Convention
New Harvest Christian Fellowship,Norwalk,CA,2000,Unknown (unspecified)
New Heights Church,Vancouver,WA,4000,Baptist General Conference
New Hope Baptist Church,Birmingham,AL,3000,Baptist (unspecified)
New Hope Baptist Church,Fayetteville,GA,2200,Southern Baptist Convention
New Hope Church,Manvel,TX,5686,CHRISTIAN
New Hope Church Evangelical Free Church,New Hope,MN,3757,Evangelical Free
New Hope Leeward,Waipahu,HI,4358,Four Square
New Hope Missionary Baptist Church,San Bernardino,CA,3400,Baptist General Conference
New Hope Oahu,Honolulu,HI,9000,Four Square
New Life Center,Bakersfield,CA,2000,Four Square
New Life Christian Fellowship,Jacksonville,FL,2000,"Independent, Nondenominational"
New Life Church,Alamo,CA,2150,Assemblies of God
New Life Church,Gahanna,OH,1800,"Independent, Nondenominational"
New Life Church,Colorado Springs,CO,12000,"Independent, Nondenominational"
New Life Church,Conway,AR,8205,Unknown (unspecified)
New Life Church at Renton,Renton,WA,2733,Assemblies of God
New Life Community Church,Pismo Beach,CA,2367,Church of the Nazarene
New Life Community Church,Chicago,IL,3900,Unknown (unspecified)
New Life Covenant Ministries,Chicago,IL,12994,Assemblies of God
New Life Covenant Oakwood Church Southeast,Chicago,IL,10000,"Independent, Nondenominational"
New Life Fellowship-Community Church of Seattle,Bothell,WA,3000,Unknown (unspecified)
New Life Foursquare Church,Everett,WA,2700,Four Square
New Life Providence Church,Virginia Beach,VA,2500,"Independent, Nondenominational"
New Life Worship Center,Indianapolis,IN,2250,"Independent, Nondenominational"
New Light Christian Center Church,Houston,TX,13500,Unknown (unspecified)
New Mercies Christian Church,Lilburn,GA,7000,CHRISTIAN
New Prospect Missionary Baptist Church,Detroit,MI,2000,National Baptist Convention
New Psalmist Baptist Church,Baltimore,MD,6000,Baptist (unspecified)
New Saint Paul Tabernacle Church,Detroit,MI,2300,Church of God in Christ
New Salem Baptist Church,Columbus,OH,2000,Baptist (unspecified)
New Salem Missionary Baptist Church,Memphis,TN,3100,Missionary Baptist
New Shiloh Baptist Church,Baltimore,MD,2000,Unknown (unspecified)
New Song Church,Carrollton,TX,2000,Southern Baptist Convention
New Venture Christian Fellowship,Oceanside,CA,2001,Unknown (unspecified)
New Vision Baptist Church,Murfreesboro,TN,2150,Southern Baptist Convention
New Vision Church,Milpitas,CA,2300,Southern Baptist Convention
Newbreak,San Diego,CA,2171,Assemblies of God
Newhope church,Durham,NC,2572,"Independent, Nondenominational"
NewLife Church,Silverdale,WA,3044,Assemblies of God
NewPointe Community Church,Dover,OH,3200,METH
NewSong Church,Irvine,CA,2000,Evangelical Covenant
NewSpring Church,Anderson,SC,10000,Southern Baptist Convention
NewSpring Church,Wichita,KS,2000,Unknown (unspecified)
North Boulevard Church of Christ,Murfreesboro,TN,1800,Church of Christ
North Church,Carrollton,TX,3500,"Independent, Nondenominational"
North Coast Calvary Chapel,Carlsbad,CA,6000,Calvary Churches
North Coast Church,Vista,CA,8906,Evangelical Free
North County Christ the King Community Church,Lynden,WA,1950,"Independent, Nondenominational"
North Heights Lutheran Church,Roseville,MN,2300,Evangelical Lutheran Church in America
North Heights Lutheran Church,Arden Hills,MN,2200,Lutheran (unspecified)
North Metro Church,Kennesaw,GA,3500,"Independent, Nondenominational"
North Metro First Baptist Church,Lawrenceville,GA,2285,Baptist (unspecified)
North Park Community Church,London,ON,2200,"Independent, Nondenominational"
North Phoenix Baptist Church,Phoenix,AZ,2350,Southern Baptist Convention
North Point Church,Springfield,MO,4500,Assemblies of God
North Point Ministries,Alpharetta,GA,24273,"Independent, Nondenominational"
North Scottsdale Christian,Scottsdale,AZ,1700,Assemblies of God
North Valley Baptist Church,Santa Clara,CA,3000,"Independent, Nondenominational"
North Way Christian Community,Wexford,PA,3000,Unknown (unspecified)
Northeast Christian Church,Louisville,KY,2652,CHRISTIAN
Northern Hills Christian Church,Brighton,CO,2000,"Independent, Nondenominational"
Northland A Church Distributed,Longwood,FL,12000,"Independent, Nondenominational"
NorthRidge Church,Plymouth,MI,9655,"Independent, Nondenominational"
Northshore Baptist Church,Kirland,WA,2400,Baptist (unspecified)
Northside Baptist Church,Charlotte,NC,2000,Baptist (unspecified)
Northside Baptist Church,West Columbia,SC,2000,Southern Baptist Convention
Northside Christian Church,Clovis,CA,2600,CHRISTIAN
Northside Christian Church,New Albany,IN,5006,CHRISTIAN
NorthStar Church,Kennesaw,GA,2000,Southern Baptist Convention
Northstar Church,Panama City,FL,2000,"Independent, Nondenominational"
Northview Church,Carmel,IN,6595,"Independent, Nondenominational"
Northview Community Church,Abbotsford,BC,2700,MEN
Northway Fellowship Church,Clifton Park,NY,2000,"Independent, Nondenominational"
Northwest Church,Federal Way,WA,1800,Four Square
Northwest Church,Fresno,CA,1800,Baptist General Conference
Northwest Community Church,Phoenix,AZ,2500,"Independent, Nondenominational"
NorthWood Church,Keller,TX,2106,Southern Baptist Convention
Northwood Temple Church,Fayetteville,NC,2000,International Pentecostal Holiness Church
Northwoods Community Church,Peoria,IL,3800,MEN
Oak Cliff Bible Fellowship Church,Dallas,TX,7000,"Independent, Nondenominational"
Oak Creek Assembly of God,Oak Creek,WI,2229,Assemblies of God
Oak Hills Church,San Antonio,TX,8663,Church of Christ
Oak Pointe Church,Novi,MI,3000,"Independent, Nondenominational"
Oakwood Baptist Church,Chickamauga,GA,2415,Southern Baptist Convention
Oakwood Baptist Church,New Braunfels,TX,2447,Southern Baptist Convention
Oakwood College Church,Huntsville,AL,2000,Seventh-day Adventist
Oasis Church,Pembroke Pines,FL,2200,Southern Baptist Convention
Oasis Church,Valley Village,CA,2000,Unknown (unspecified)
Oasis Family Life Church,Dallas,GA,2500,Unknown (unspecified)
Olathe Bible Church,Olathe,KS,2200,Unknown (unspecified)
Olive Baptist Church,Pensacola,FL,3137,Southern Baptist Convention
Olivet Institutional Baptist Church,Cleveland,OH,2000,Unknown (unspecified)
One Community Church,Plano,TX,3000,"Independent, Nondenominational"
Only Believe Ministries Christian Center,Botkins,OH,2000,"Independent, Nondenominational"
Open Door Presbyterian Church,Herndon,VA,2500,PRES
Orange Hills Assembly of God,Orange Hills,CA,2000,Assemblies of God
Orchard Hill Church,Cedar Falls,IA,2000,Reformed Church in America
Oriental Mission Church,Los Angeles,CA,3800,CHRISTIAN
Our Savior�s Church,Lafayette,LA,4600,"Independent, Nondenominational"
Overcoming by Faith,Savannah,GA,2000,Four Square
Overcoming Faith Christian Center,Arlington,TX,2000,Unknown (unspecified)
Overlake Christian Church,Redmond,WA,3000,CHRISTIAN
Owensboro Christian Church,Owensboro,KY,2052,CHRISTIAN
Palm Valley Church,Mission,TX,3700,"Independent, Nondenominational"
Palm Valley Community Church,Litchfield Park,AZ,2500,"Independent, Nondenominational"
Palmcroft Baptist Church,Phoenix,AZ,2000,CBA
Pantano Christian Church,Tucson,AZ,2455,CHRISTIAN
Pantego Bible Church,Fort Worth,TX,2500,"Independent, Nondenominational"
Paradise Alliance Church,Paradise,CA,2100,Christian & Missionary Alliance
Park Cities Baptist Church,Dallas,TX,2500,Southern Baptist Convention
Park Cities Presbyterian Church,Dallas,TX,5500,Presbyterian Church of America
Park Community Church,Chicago,IL,2500,"Independent, Nondenominational"
Park Street Church,Boston,MA,2000,Unknown (unspecified)
Park West Church,Knoxville,TN,2000,"Church of God, Cleveland"
Parkcrest Christian Church,Long Beach,CA,2500,"Independent, Nondenominational"
Parker Hill Community Church,Scranton,PA,1950,"Independent, Nondenominational"
Parkside Church,Chagrin Falls,OH,4000,"Independent, Nondenominational"
Parkview Christian Church,Orland Park,IL,7093,CHRISTIAN
Passion City Church,Atlanta,GA,6500,"Independent, Nondenominational"
Pathway Church,Wichita,KS,3012,CHRISTIAN
Pathway Community Church,Fort Wayne,IN,3000,"Independent, Nondenominational"
Peace Baptist Church,Decatur,GA,1800,Baptist (unspecified)
Peachtree Presbyterian Church,Atlanta,GA,3171,"Presbyterian Church, U.S.A."
Pentecostals of Alexandria,Alexandria,LA,2800,United Pentecostal Church International
People’s Church,Oklahoma City,OK,6000,Assemblies of God
Peoples Church,Fresno,CA,4500,"Independent, Nondenominational"
Perfecting Church,Detroit,MI,4500,"Independent, Nondenominational"
Perfecting Faith Church,Freeport,NY,2000,Unknown (unspecified)
Perimeter Church,Duluth,GA,3900,Presbyterian Church of America
Pilgrim Church,Paramus,NJ,2500,Korean Presbyterian Church
Pilgrim Rest Baptist Church,Phoenix,AZ,2200,Baptist (unspecified)
Pilgrim Rest Missionary Baptist Church,Dallas,TX,2500,Baptist (unspecified)
Pinelake Church,Brandon,MS,9091,Southern Baptist Convention
Pinon Hills Community Church,Farmington,NM,2000,"Independent, Nondenominational"
Pioneer Memorial Church,Berrien Springs,MI,2500,Seventh-day Adventist
Place for Life,San Antonio,TX,3000,"Independent, Nondenominational"
Plainfield Christian Church,Plainfield,IN,1956,CHRISTIAN
Pleasant Valley Baptist Church,Liberty,MO,2905,Southern Baptist Convention
Pocono Community Church,Mount Pocono,PA,2000,Assemblies of God
Pocono Community Church,Tobyhanna,PA,1855,Assemblies of God
Point of Grace Church,Waukee,IA,2200,"Independent, Nondenominational"
Pomona First Baptist Church,Pomona,CA,4000,American Baptist
Port City Community Church,Wilmington,NC,5200,Unknown (unspecified)
Portland Christian Center,Portland,OR,2000,Assemblies of God
Potential Church,Cooper City,FL,12000,Southern Baptist Convention
Potter’s House Christian Fellowship,Jacksonville,FL,3000,Unknown (unspecified)
Potter’s House Church of Denver,Denver,CO,7800,"Independent, Nondenominational"
Prairie Lakes Church,Cedar Falls,IA,2200,Baptist (unspecified)
Praise Cathedral Church of God,Greer,SC,2000,"Church of God, Cleveland"
Prayer Palace Church,Toronto,ON,2500,"Independent, Nondenominational"
Prestoncrest Church of Christ,Dallas,TX,2500,Church of Christ
Prestonwood Baptist Church,Plano,TX,17000,Southern Baptist Convention
Primeira Igreja Batista Brasileira,Pompano Beach,FL,2000,Baptist (unspecified)
Prince of Peace Lutheran Church,Burnsville,MN,3000,Evangelical Lutheran Church in America
Princeton Alliance Church,Plainsboro,NJ,1800,Christian & Missionary Alliance
Promise New York Church,Flushing,NY,3800,Assemblies of God
PromiseLand Church,Austin,TX,2400,"Independent, Nondenominational"
Providence Baptist Church,Raleigh,NC,2500,Southern Baptist Convention
Puyallup Foursquare Church,Puyallup,WA,3500,Four Square
Quest Community Church,Lexington,KY,3400,Unknown (unspecified)
Radiant Church,Surprise,AZ,6359,Assemblies of God
Rancho Community Church,Temecula,CA,2500,Reformed Church in America
Ray of Hope Christian Church,Decatur,GA,2000,CHRISTIAN
Real Life,Corpus Christi,TX,2600,Southern Baptist Convention
Real Life Christian Church,Clermont,FL,4762,CHRISTIAN
Real Life Church,Valencia,CA,5105,"Independent, Nondenominational"
Real Life Ministries,Post Falls,ID,7001,CHRISTIAN
Reality,Carpinteria,CA,3000,"Independent, Nondenominational"
Red Rocks Church,Golden,CO,3200,Assemblies of God
